gene_id	E123
ENSG00000000003	0.267
ENSG00000000005	0.006
ENSG00000000419	73.719
ENSG00000000457	7.651
ENSG00000000460	22.103
ENSG00000000938	0.016
ENSG00000000971	41.504
ENSG00000001036	59.833
ENSG00000001084	2.750
ENSG00000001167	15.622
ENSG00000001460	1.642
ENSG00000001461	6.182
ENSG00000001497	36.755
ENSG00000001561	0.000
ENSG00000001617	1.614
ENSG00000001626	0.005
ENSG00000001629	16.891
ENSG00000001630	16.930
ENSG00000001631	24.917
ENSG00000002016	4.655
ENSG00000002330	7.835
ENSG00000002549	41.437
ENSG00000002586	5.137
ENSG00000002587	0.000
ENSG00000002726	0.005
ENSG00000002745	0.003
ENSG00000002746	0.006
ENSG00000002822	4.268
ENSG00000002834	49.802
ENSG00000002919	18.918
ENSG00000002933	0.001
ENSG00000003056	39.158
ENSG00000003096	1.047
ENSG00000003137	0.006
ENSG00000003147	6.838
ENSG00000003249	5.995
ENSG00000003393	6.083
ENSG00000003400	9.629
ENSG00000003402	14.496
ENSG00000003436	67.715
ENSG00000003509	15.048
ENSG00000003756	29.163
ENSG00000003987	0.003
ENSG00000003989	0.004
ENSG00000004059	108.866
ENSG00000004139	0.111
ENSG00000004399	3.272
ENSG00000004455	150.213
ENSG00000004468	0.014
ENSG00000004478	65.402
ENSG00000004487	148.331
ENSG00000004534	22.561
ENSG00000004660	4.939
ENSG00000004700	19.645
ENSG00000004766	5.889
ENSG00000004776	0.039
ENSG00000004777	2.195
ENSG00000004779	175.205
ENSG00000004799	0.055
ENSG00000004809	0.000
ENSG00000004838	0.665
ENSG00000004846	0.000
ENSG00000004848	0.005
ENSG00000004864	37.811
ENSG00000004866	13.052
ENSG00000004897	38.994
ENSG00000004939	0.613
ENSG00000004948	0.049
ENSG00000004961	29.827
ENSG00000004975	2.622
ENSG00000005001	0.032
ENSG00000005007	18.591
ENSG00000005020	2.791
ENSG00000005022	401.333
ENSG00000005059	1.754
ENSG00000005073	0.009
ENSG00000005075	66.744
ENSG00000005100	11.187
ENSG00000005102	0.000
ENSG00000005108	0.000
ENSG00000005156	18.876
ENSG00000005175	25.200
ENSG00000005187	266.914
ENSG00000005189	34.463
ENSG00000005194	81.252
ENSG00000005206	9.822
ENSG00000005238	4.316
ENSG00000005243	0.062
ENSG00000005249	127.692
ENSG00000005302	14.560
ENSG00000005339	1.652
ENSG00000005379	0.983
ENSG00000005381	0.238
ENSG00000005421	0.001
ENSG00000005436	7.463
ENSG00000005448	5.718
ENSG00000005469	0.558
ENSG00000005471	0.023
