geneID	tpm
ENSG00000000003	0.777
ENSG00000000005	0.017
ENSG00000000419	214.622
ENSG00000000457	22.275
ENSG00000000460	64.350
ENSG00000000938	0.047
ENSG00000000971	120.833
ENSG00000001036	174.195
ENSG00000001084	8.006
ENSG00000001167	45.481
ENSG00000001460	4.780
ENSG00000001461	17.998
ENSG00000001497	107.007
ENSG00000001561	0.000
ENSG00000001617	4.699
ENSG00000001626	0.015
ENSG00000001629	49.176
ENSG00000001630	49.289
ENSG00000001631	72.542
ENSG00000002016	13.552
ENSG00000002330	22.810
ENSG00000002549	120.638
ENSG00000002586	14.956
ENSG00000002587	0.000
ENSG00000002726	0.015
ENSG00000002745	0.009
ENSG00000002746	0.017
ENSG00000002822	12.426
ENSG00000002834	144.991
ENSG00000002919	55.077
ENSG00000002933	0.003
ENSG00000003056	114.003
ENSG00000003096	3.048
ENSG00000003137	0.017
ENSG00000003147	19.908
ENSG00000003249	17.454
ENSG00000003393	17.710
ENSG00000003400	28.033
ENSG00000003402	42.203
ENSG00000003436	197.142
ENSG00000003509	43.810
ENSG00000003756	84.904
ENSG00000003987	0.009
ENSG00000003989	0.012
ENSG00000004059	316.948
ENSG00000004139	0.323
ENSG00000004399	9.526
ENSG00000004455	437.323
ENSG00000004468	0.041
ENSG00000004478	190.408
ENSG00000004487	431.844
ENSG00000004534	65.683
ENSG00000004660	14.379
ENSG00000004700	57.194
ENSG00000004766	17.145
ENSG00000004776	0.114
ENSG00000004777	6.390
ENSG00000004779	510.084
ENSG00000004799	0.160
ENSG00000004809	0.000
ENSG00000004838	1.936
ENSG00000004846	0.000
ENSG00000004848	0.015
ENSG00000004864	110.081
ENSG00000004866	37.999
ENSG00000004897	113.525
ENSG00000004939	1.785
ENSG00000004948	0.143
ENSG00000004961	86.837
ENSG00000004975	7.634
ENSG00000005001	0.093
ENSG00000005007	54.125
ENSG00000005020	8.126
ENSG00000005022	1168.423
ENSG00000005059	5.107
ENSG00000005073	0.026
ENSG00000005075	194.316
ENSG00000005100	32.569
ENSG00000005102	0.000
ENSG00000005108	0.000
ENSG00000005156	54.955
ENSG00000005175	73.366
