geneID	tpm
ENSG00000000419	214.622
ENSG00000000457	22.275
ENSG00000000460	64.350
ENSG00000000971	120.833
ENSG00000001036	174.195
ENSG00000001167	45.481
ENSG00000001461	17.998
ENSG00000001497	107.007
ENSG00000001629	49.176
ENSG00000001630	49.289
ENSG00000001631	72.542
ENSG00000002016	13.552
ENSG00000002330	22.810
ENSG00000002549	120.638
ENSG00000002586	14.956
ENSG00000002822	12.426
ENSG00000002834	144.991
ENSG00000002919	55.077
ENSG00000003056	114.003
ENSG00000003147	19.908
ENSG00000003249	17.454
ENSG00000003393	17.710
ENSG00000003400	28.033
ENSG00000003402	42.203
ENSG00000003436	197.142
ENSG00000003509	43.810
ENSG00000003756	84.904
ENSG00000004059	316.948
ENSG00000004455	437.323
ENSG00000004478	190.408
ENSG00000004487	431.844
ENSG00000004534	65.683
ENSG00000004660	14.379
ENSG00000004700	57.194
ENSG00000004766	17.145
ENSG00000004779	510.084
ENSG00000004864	110.081
ENSG00000004866	37.999
ENSG00000004897	113.525
ENSG00000004961	86.837
ENSG00000005007	54.125
ENSG00000005022	1168.423
ENSG00000005075	194.316
ENSG00000005100	32.569
ENSG00000005156	54.955
ENSG00000005175	73.366
ENSG00000005187	777.082
ENSG00000005189	100.334
ENSG00000005194	236.553
ENSG00000005206	28.595
ENSG00000005238	12.565
ENSG00000005249	371.757
ENSG00000005302	42.389
ENSG00000005436	21.727
ENSG00000005448	16.647
ENSG00000005483	13.864
ENSG00000005486	41.461
ENSG00000005700	43.650
ENSG00000005801	54.958
ENSG00000005810	13.052
ENSG00000005812	18.834
ENSG00000005889	18.056
ENSG00000005893	76.542
ENSG00000005955	52.352
ENSG00000005961	12.557
ENSG00000006007	84.910
ENSG00000006015	36.322
ENSG00000006025	21.841
ENSG00000006042	228.256
ENSG00000006062	16.490
ENSG00000006114	13.966
ENSG00000006125	514.268
ENSG00000006194	14.653
ENSG00000006327	72.927
ENSG00000006451	46.227
ENSG00000006453	34.625
ENSG00000006459	19.058
ENSG00000006530	109.429
ENSG00000006576	36.840
ENSG00000006625	77.736
ENSG00000006634	29.250
ENSG00000006638	10.379
ENSG00000006652	63.989
ENSG00000006695	29.332
ENSG00000006704	15.139
ENSG00000006712	76.892
ENSG00000006715	36.232
ENSG00000006744	68.169
ENSG00000006757	20.199
ENSG00000006831	80.662
ENSG00000006837	44.343
ENSG00000007038	272.643
ENSG00000007080	99.982
ENSG00000007168	56.242
ENSG00000007202	243.739
ENSG00000007255	67.826
ENSG00000007264	64.399
ENSG00000007341	12.530
ENSG00000007376	32.039
ENSG00000007384	12.673
ENSG00000007392	57.770
ENSG00000007520	46.649
ENSG00000007541	14.135
ENSG00000007545	20.714
ENSG00000007866	15.078
ENSG00000007923	69.348
ENSG00000007944	97.021
ENSG00000008018	1026.308
ENSG00000008083	44.314
ENSG00000008128	10.929
ENSG00000008130	96.797
ENSG00000008256	26.703
ENSG00000008282	169.648
ENSG00000008283	31.457
ENSG00000008294	60.763
ENSG00000008324	191.946
ENSG00000008382	10.682
ENSG00000008394	21.524
ENSG00000008405	51.976
ENSG00000008710	10.987
ENSG00000008838	92.377
ENSG00000008869	48.422
ENSG00000008952	42.809
ENSG00000009307	532.985
ENSG00000009335	91.242
ENSG00000009413	24.543
ENSG00000009694	15.748
ENSG00000009780	12.132
ENSG00000009830	10.731
ENSG00000009844	160.710
ENSG00000009954	96.447
ENSG00000010017	155.667
ENSG00000010072	18.668
ENSG00000010165	109.694
ENSG00000010244	130.475
ENSG00000010256	298.094
ENSG00000010270	71.346
ENSG00000010292	136.330
ENSG00000010310	19.276
ENSG00000010318	19.928
ENSG00000010322	43.242
ENSG00000010404	19.308
ENSG00000010539	10.906
ENSG00000010671	119.794
ENSG00000010803	51.144
ENSG00000011007	58.390
ENSG00000011009	113.453
ENSG00000011021	37.615
ENSG00000011052	1057.046
ENSG00000011114	11.503
ENSG00000011132	21.008
ENSG00000011143	54.268
ENSG00000011198	77.920
ENSG00000011243	105.470
ENSG00000011258	45.865
ENSG00000011260	110.384
ENSG00000011275	53.493
ENSG00000011304	291.179
ENSG00000011376	82.365
ENSG00000011405	61.823
ENSG00000011422	21.759
ENSG00000011426	44.331
ENSG00000011454	18.889
ENSG00000011478	52.739
ENSG00000011485	90.267
ENSG00000011523	10.877
ENSG00000011566	25.748
ENSG00000011600	14.810
ENSG00000011638	20.339
ENSG00000012048	80.883
ENSG00000012061	67.014
ENSG00000012174	23.256
ENSG00000012211	25.894
ENSG00000012232	11.500
ENSG00000012660	402.143
ENSG00000012822	27.809
ENSG00000012963	104.934
ENSG00000012983	18.871
ENSG00000013275	167.222
ENSG00000013306	390.456
ENSG00000013374	86.560
ENSG00000013375	81.323
ENSG00000013392	20.496
ENSG00000013441	87.641
ENSG00000013503	25.404
ENSG00000013523	45.178
ENSG00000013561	51.618
ENSG00000013563	17.785
ENSG00000013573	39.111
ENSG00000013810	59.060
ENSG00000014123	51.560
ENSG00000014138	106.768
ENSG00000014164	11.523
ENSG00000014216	73.718
ENSG00000014641	319.795
ENSG00000014824	139.486
ENSG00000014919	37.396
ENSG00000015171	15.110
ENSG00000015285	20.167
ENSG00000015475	102.902
ENSG00000015479	172.777
ENSG00000015532	14.423
ENSG00000015676	42.017
ENSG00000016864	68.772
ENSG00000017260	42.692
ENSG00000017483	187.075
ENSG00000017797	139.387
ENSG00000018189	12.635
ENSG00000018510	70.126
ENSG00000018610	32.130
ENSG00000018699	138.581
ENSG00000020129	22.956
ENSG00000020256	10.297
ENSG00000020426	30.438
ENSG00000020922	55.033
ENSG00000021355	149.405
ENSG00000021574	26.770
ENSG00000021776	77.343
ENSG00000022277	112.780
ENSG00000022556	68.152
ENSG00000022840	84.921
ENSG00000023041	48.314
ENSG00000023191	35.973
ENSG00000023228	136.965
ENSG00000023287	29.408
ENSG00000023318	43.793
ENSG00000023330	78.598
ENSG00000023516	86.045
ENSG00000023572	50.122
ENSG00000023608	30.770
ENSG00000023734	219.010
ENSG00000023892	85.509
ENSG00000023909	68.114
ENSG00000024048	86.613
ENSG00000024422	19.381
ENSG00000024526	34.229
ENSG00000024862	72.088
ENSG00000025156	108.899
ENSG00000025293	34.695
