motif	TR
HM05564	ABCF2
HM00780	AC012531.1
HM04564	AC020909.1
HM04565	AC020909.1
HM04566	AC020909.1
HM05565	ACF
HM05566	ACO1
HM05567	ADARB1
HM06577	ADNP
HM06578	ADNP
HM06579	ADNP
HM04567	AEBP2
HM04570	AEBP2
HM04571	AEBP2
HM05568	AFF4
HM03138	AFP
HM05603	AGAP2
HM05569	AGGF1
HM02941	AHR
HM10010	AHR
HM02159	AIRE
HM03287	AIRE
HM03288	AIRE
HM05570	AKR1A1
HM00966	ALX1
HM07729	ALX1
HM09190	ALX1
HM07721	ALX3
HM07723	ALX3
HM04201	ALX4
HM07727	ALX4
HM10879	ALX4
HM05572	ANXA11
HM05571	ANXA1
HM02785	AP1M2
HM02960	AP1M2
HM03468	AP1M2
HM10893	AP3B1
HM00754	AP5Z1
HM05573	APEX2
HM05574	ARFGAP1
HM07816	ARGFX
HM07819	ARGFX
HM03505	ARHGEF12
HM00560	AR
HM05998	AR
HM04573	ARID1A
HM06582	ARID1A
HM06584	ARID1A
HM04579	ARID1B
HM04580	ARID1B
HM04581	ARID1B
HM00822	ARID2
HM02166	ARID3A
HM03453	ARID3A
HM03475	ARID3A
HM00708	ARID3B
HM00709	ARID3C
HM00710	ARID5A
HM10016	ARID5A
HM01070	ARID5B
HM02168	ARID5B
HM10017	ARID5B
HM07896	ARNT2
HM10018	ARNT2
HM00959	ARNT
HM00960	ARNT
HM03355	ARNT
HM00723	ARNTL2
HM04051	ARNTL
HM05575	ARNTL
HM10019	ARNTL
HM06592	ARRB1
HM06595	ARRB1
HM04202	ARX
HM07718	ARX
HM05619	ASAP3
HM05576	ASCC1
HM05142	ASCL1
HM06456	ASCL1
HM08017	ASCL1
HM04052	ASCL2
HM08023	ASCL2
HM10023	ASCL2
HM06598	ASH2L
HM06599	ASH2L
HM06600	ASH2L
HM05577	ASPSCR1
HM06601	ASXL1
HM06602	ASXL1
HM06605	ASXL1
HM05143	ATF1
HM10024	ATF1
HM00986	ATF2
HM02872	ATF2
HM02966	ATF2
HM01420	ATF3
HM03222	ATF3
HM03126	ATF4
HM05146	ATF4
HM08179	ATF4
HM10028	ATF5
HM08075	ATF6B
HM08076	ATF6B
HM08077	ATF6B
HM03106	ATF6
HM08071	ATF6
HM08072	ATF6
HM04098	ATF7
HM08153	ATF7
HM08154	ATF7
HM05148	ATOH1
HM07945	ATOH1
HM07948	ATOH1
HM00724	ATOH7
HM07949	ATOH7
HM01450	ATOH8
HM04584	ATRX
HM06608	ATRX
HM06609	ATRX
HM05578	AVEN
HM01417	BACH1
HM06492	BACH1
HM00963	BACH2
HM05150	BACH2
HM08104	BACH2
HM06611	BAHD1
HM06612	BAHD1
HM04214	BARHL1
HM07423	BARHL1
HM07424	BARHL1
HM04208	BARHL2
HM07429	BARHL2
HM07430	BARHL2
HM00406	BARX1
HM01468	BARX1
HM05580	BARX1
HM02176	BARX2
HM07432	BARX2
HM10037	BARX2
HM01470	BATF3
HM05151	BATF3
HM08145	BATF3
HM02177	BATF
HM02747	BATF
HM08144	BATF
HM05582	BAX
HM00828	BBX
HM03479	BBX
HM08438	BBX
HM05583	BCL11A
HM10041	BCL11A
HM08911	BCL11B
HM02692	BCL2
HM02837	BCL2
HM10042	BCL3
HM01471	BCL6B
HM09174	BCL6B
HM09175	BCL6B
HM05153	BCL6
HM05432	BCL6
HM09181	BCL6
HM06618	BCLAF1
HM06619	BCLAF1
HM06620	BCLAF1
HM06622	BCOR
HM06623	BCOR
HM06624	BCOR
HM02768	BDP1
HM02793	BDP1
HM01472	BHLHA15
HM07951	BHLHA15
HM07952	BHLHA15
HM04057	BHLHE22
HM06385	BHLHE22
HM07956	BHLHE22
HM07957	BHLHE23
HM07958	BHLHE23
HM07960	BHLHE23
HM02179	BHLHE40
HM02850	BHLHE40
HM09221	BHLHE40
HM00283	BHLHE41
HM02180	BHLHE41
HM07916	BHLHE41
HM06627	BMI1
HM06629	BMI1
HM06630	BMI1
HM06631	BMPR1A
HM06632	BMPR1A
HM06634	BMPR1A
HM05584	BOLL
HM01009	BPTF
HM02182	BPTF
HM10050	BPTF
HM00891	BRCA1
HM02586	BRCA1
HM03324	BRCA1
HM06638	BRD1
HM06639	BRD1
HM06640	BRD1
HM06641	BRD2
HM06643	BRD2
HM06645	BRD2
HM06646	BRD3
HM06647	BRD3
HM06650	BRD3
HM06652	BRD4
HM06653	BRD4
HM06654	BRD4
HM06656	BRF1
HM06657	BRF1
HM06660	BRF1
HM06661	BRF2
HM06662	BRF2
HM06664	BRF2
HM03585	BSX
HM07435	BSX
HM07436	BSX
HM05588	C19orf25
HM03178	CACD
HM03332	CACD
HM06666	CARM1
HM04589	CASZ1
HM04590	CASZ1
HM04591	CASZ1
HM05594	CAT
HM06669	CAVIN1
HM06670	CAVIN1
HM06671	CAVIN1
HM05595	CBFA2T2
HM02434	CBFB
HM06673	CBX1
HM06676	CBX1
HM06677	CBX2
HM06680	CBX2
HM06682	CBX3
HM06684	CBX3
HM06685	CBX3
HM06687	CBX4
HM06690	CBX4
HM03180	CBX5
