gene	number	code	class
ABCF2	1	0010000	Others
AC012531.1	1	0010000	Others
AC020909.1	1	1000000	Transcription factor
ACF	2	1001000	RNA binding protein,Transcription factor
ACO1	1	0000010	Nuclear enzyme
ADARB1	1	0000010	Nuclear enzyme
ADNP	2	1100000	Transcription cofactor,Transcription factor
AEBP2	2	1000100	Chromatin remodeller,Transcription factor
AFF1	2	1001000	Transcription factor,RNA binding protein
AFF4	1	1000000	Transcription factor
AFP	2	1001000	Transcription factor,RNA binding protein
AGAP2	1	0010000	Others
AGGF1	1	0010000	Others
AGO1	3	1101000	Transcription cofactor,RNA binding protein,Transcription factor
AGO2	3	1101000	Transcription factor,RNA binding protein,Transcription cofactor
AHR	2	1001000	RNA binding protein,Transcription factor
AIRE	2	1000100	Transcription factor,Chromatin remodeller
AKR1A1	1	0000010	Nuclear enzyme
ALX1	1	1000000	Transcription factor
ALX3	1	1000000	Transcription factor
ALX4	1	1000000	Transcription factor
ANXA1	1	0010000	Others
ANXA11	1	0010000	Others
AP1M2	1	0010000	Others
AP3B1	1	0010000	Others
AP5Z1	2	1010000	Others,Transcription factor
APEX2	1	0010000	Others
AR	2	1001000	Transcription factor,RNA binding protein
ARFGAP1	1	0000010	Nuclear enzyme
ARGFX	1	1000000	Transcription factor
ARHGAP35	2	1100000	Transcription cofactor,Transcription factor
ARHGEF12	1	0010000	Others
ARID1A	3	1100100	Transcription factor,Transcription cofactor,Chromatin remodeller
ARID1B	2	1000100	Transcription factor,Chromatin remodeller
ARID2	2	1100000	Transcription factor,Transcription cofactor
ARID3A	1	1000000	Transcription factor
ARID3B	1	1000000	Transcription factor
ARID3C	1	1000000	Transcription factor
ARID5A	1	1000000	Transcription factor
ARID5B	1	1000000	Transcription factor
ARNT	1	1000000	Transcription factor
ARNT2	1	1000000	Transcription factor
ARNTL	1	1000000	Transcription factor
ARNTL2	1	1000000	Transcription factor
ARRB1	1	0100000	Transcription cofactor
ARX	2	1001000	Transcription factor,RNA binding protein
ASAP3	1	0010000	Others
ASCC1	1	0100000	Transcription cofactor
ASCL1	1	1000000	Transcription factor
ASCL2	1	1000000	Transcription factor
ASH1L	3	1100100	Chromatin remodeller,Transcription factor,Transcription cofactor
ASH2L	3	1100100	Transcription factor,Transcription cofactor,Chromatin remodeller
ASPSCR1	1	0010000	Others
ASXL1	3	0100101	Chromatin remodeller,Polycomb group (PcG) protein,Transcription cofactor
ATF1	1	1000000	Transcription factor
ATF2	2	1000100	Chromatin remodeller,Transcription factor
ATF3	1	1000000	Transcription factor
ATF4	1	1000000	Transcription factor
ATF5	1	1000000	Transcription factor
ATF6	1	1000000	Transcription factor
ATF6B	1	1000000	Transcription factor
ATF7	1	1000000	Transcription factor
ATOH1	1	1000000	Transcription factor
ATOH7	1	1000000	Transcription factor
ATOH8	1	1000000	Transcription factor
ATRX	3	1100100	Chromatin remodeller,Transcription cofactor,Transcription factor
ATRX	3	1100100	Chromatin remodeller,Transcription factor,Transcription cofactor
AVEN	1	1000000	Transcription factor
BACH1	1	1000000	Transcription factor
BACH2	1	1000000	Transcription factor
BAHD1	1	0000100	Chromatin remodeller
BARHL1	1	1000000	Transcription factor
BARHL2	1	1000000	Transcription factor
BARX1	1	1000000	Transcription factor
BARX2	1	1000000	Transcription factor
BATF	1	1000000	Transcription factor
BATF3	1	1000000	Transcription factor
BAX	2	1001000	Transcription factor,RNA binding protein
BBX	2	1001000	Transcription factor,RNA binding protein
BCL11A	1	1000000	Transcription factor
BCL11B	1	1000000	Transcription factor
BCL2	1	0010000	Others
BCL3	2	1100000	Transcription cofactor,Transcription factor
BCL3	2	1100000	Transcription factor,Transcription cofactor
BCL6	1	1000000	Transcription factor
BCL6B	1	1000000	Transcription factor
BCLAF1	2	1001000	RNA binding protein,Transcription factor
BCOR	2	1100000	Transcription factor,Transcription cofactor
BDP1	2	1100000	Transcription factor,Transcription cofactor
BHLHA15	1	1000000	Transcription factor
BHLHE22	1	1000000	Transcription factor
BHLHE23	1	1000000	Transcription factor
BHLHE40	1	1000000	Transcription factor
BHLHE41	1	1000000	Transcription factor
